product_id,product_name,category,brand,price,stock_quantity,created_at
65,청바지(스키니핏),의류,리바이스,59000,30,2021-03-07
66,트레이닝 세트(상의+하의),의류,나이키,89000,20,2021-03-08
67,여성 블라우스(화이트),의류,지오다노,39000,35,2021-03-09
68,남성 셔츠(스트라이프),의류,지오다노,35000,40,2021-03-10
69,스포츠 레깅스,의류,안다르,34900,30,2021-03-11
70,바람막이 점퍼,의류,K2,79000,25,2021-03-12
71,니트 가디건(봄가을용),의류,탑텐,49000,15,2021-03-13
72,남성 조깅화(270mm),의류,뉴발란스,69000,12,2021-03-14
73,여성 운동화(240mm),의류,나이키,79000,10,2021-03-15
74,양말 10켤레 세트,의류,스파오,9900,50,2021-03-16
75,모자(야구캡),의류,뉴에라,29000,20,2021-03-17
76,긴팔 라운드티(블랙),의류,무인양품,19900,35,2021-03-18
77,여성 청자켓 오버핏,의류,자라,59000,10,2021-03-19
78,남성 가죽벨트(브라운),의류,루이카스텔,29000,25,2021-03-20
79,캐시미어 머플러(그레이),의류,유니클로,39000,10,2021-03-21
80,여성 플리츠스커트(블랙),의류,H&M,29000,20,2021-03-22
81,남성 반바지(데님),의류,스파오,19900,30,2021-03-23
82,여성 코트(싱글),의류,지고트,129000,15,2021-03-24
83,슬리퍼(실내화),의류,크록스,24900,40,2021-03-25
84,양털 후리스 자켓,의류,유니클로,39900,20,2021-03-26
85,체크무늬 셔츠(남성),의류,폴로랄프로렌,69000,10,2021-03-27
86,기능성 이너웨어(반팔),의류,나이키,29900,30,2021-03-28
87,남성 드로즈 팬티 3종세트,의류,CK,59000,20,2021-03-29
88,여성 무릎양말 2켤레,의류,스파오,7900,25,2021-03-30
89,아동 양말 5켤레 세트,의류,유아동전문,8900,30,2021-03-31
90,체육복 상의(학교용),의류,스콜라스,15900,20,2021-04-01
91,농심 신라면(5개입),식품,농심,3800,50,2021-04-02
92,오뚜기 진라면(5개입),식품,오뚜기,3500,50,2021-04-03
93,햇반(즉석밥) 12개입,식품,CJ제일제당,13900,35,2021-04-04
94,고추장 500g,식품,청정원,4500,40,2021-04-05
95,간장 1L,식품,샘표,3900,45,2021-04-06
96,스팸 3호 세트(캔 6개),식품,CJ제일제당,19900,25,2021-04-07
97,동원 참치 150g x 5캔,식품,동원F&B,8900,30,2021-04-08
98,아몬드 브리즈(190ml 24팩),식품,매일유업,18900,20,2021-04-09
99,서울우유 1L x 2팩,식품,서울우유,3800,35,2021-04-10
100,계란 대란(30개),식품,지역농가,7500,40,2021-04-11
101,사과 5kg(부사),식품,경북농원,19900,25,2021-04-12
102,배 5kg(신고),식품,나주배협동,21900,20,2021-04-13
103,냉동 만두(1kg),식품,비비고,5900,40,2021-04-14
104,과자종합선물세트,식품,크라운해태,9900,15,2021-04-15
105,초콜릿(미니바) 30개입,식품,롯데제과,8900,20,2021-04-16
106,포카칩(대용량),식품,농심,3000,35,2021-04-17
107,삼다수 생수 2L x 6병,식품,제주개발공사,4500,25,2021-04-18
108,핫식스 에너지드링크(250ml x 6),식품,롯데칠성,6900,20,2021-04-19
109,믹스커피 100개입,식품,동서식품,10900,30,2021-04-20
110,프리미엄 드립백 커피 20개,식품,커피명가,14900,20,2021-04-21
111,컵밥 6종 세트(라볶이 등),식품,오뚜기,10900,15,2021-04-22
112,냉동 피자 3판,식품,고메,15900,18,2021-04-23
113,한라봉 3kg(제주산),식품,제주소생,19900,10,2021-04-24
114,냉동 닭가슴살(1kg),식품,하림,8900,30,2021-04-25
115,샌드위치 햄(슬라이스) 200g,식품,CJ제일제당,5500,25,2021-04-26
116,미니 양배추 1kg,식품,강원농가,6900,20,2021-04-27
117,자몽 5개(미국산),식품,수입농산,7900,15,2021-04-28
118,푸르밀 바나나우유(300ml x 4),식품,푸르밀,4900,20,2021-04-29
119,밀키트: 소불고기(2인분),식품,프레시지,12900,15,2021-04-30
120,즉석떡볶이 2인분,식품,청정원,6900,20,2021-05-01
121,소설 - 나미야 잡화점의 기적,도서,현대문학,13800,20,2021-05-02
122,자기계발서 - 미라클 모닝,도서,한빛비즈,12000,15,2021-05-03
123,영어교재 - 그래머인유즈 초급,도서,캠브리지,18000,30,2021-05-04
124,IT전문서적 - 파이썬 알고리즘,도서,길벗,22000,10,2021-05-05
125,만화 - 원피스 1권,도서,대원씨아이,4500,50,2021-05-06
126,여행가이드 - 국내여행 100선,도서,RHK,15800,20,2021-05-07
127,추리소설 - 용의자 X의 헌신,도서,소미미디어,13800,15,2021-05-08
128,자기계발 - 좋은습관 만들기,도서,21세기북스,13000,20,2021-05-09
129,수험서 - 한국사 능력검정시험,도서,이투스,17000,25,2021-05-10
130,에세이 - 나는 나로 살기로 했다,도서,마음의숲,13000,15,2021-05-11
131,소설 - 종의 기원,도서,은행나무,13000,20,2021-05-12
132,만화 - 진격의 거인 1권,도서,학산문화사,5000,40,2021-05-13
133,경제/경영 - 부의 인문학,도서,오픈마인드,16000,15,2021-05-14
134,과학책 - 시간이란 무엇인가,도서,사이언스BOOK,14000,10,2021-05-15
135,어린이 동화 - 강아지똥,도서,길벗어린이,9000,25,2021-05-16
136,수능 국어 기출문제집,도서,메가스터디,15000,20,2021-05-17
137,토익 LC 교재,도서,해커스,17800,30,2021-05-18
138,토익 RC 교재,도서,해커스,17800,30,2021-05-19
139,프로그래밍 - 자바 기초,도서,한빛미디어,23000,10,2021-05-20
140,프로그래밍 - 자바스크립트 완벽 가이드,도서,인사이트,33000,8,2021-05-21
141,외국어 - 프랑스어 입문,도서,동양북스,16000,12,2021-05-22
142,만화 - 드래곤볼 1권,도서,서울미디어코믹스,4500,40,2021-05-23
143,자기계발 - 1만 시간의 법칙,도서,위즈덤하우스,13500,15,2021-05-24
144,취업서 - 대기업 인적성 기출,도서,시대고시기획,15000,20,2021-05-25
145,여행에세이 - 어쩌면 즐거운 유럽,도서,더로드,15000,20,2021-05-26
146,역사책 - 하룻밤에 읽는 한국사,도서,페이퍼로드,14000,25,2021-05-27
147,자연과학 - 우주의 구조,도서,사이언스BOOK,17000,10,2021-05-28
148,심리학 - 미움받을 용기,도서,인플루엔셜,14000,15,2021-05-29
149,수험서 - 공무원 국어 기본서,도서,에듀윌,18000,25,2021-05-30
150,로맨스 소설 - 달빛 아래서,도서,로코북스,12000,20,2021-05-31
151,아모레퍼시픽 립스틱 레드,뷰티/화장품,아모레퍼시픽,19000,25,2021-06-01
152,이니스프리 그린티 씨드 세럼,뷰티/화장품,이니스프리,22000,30,2021-06-02
153,마스크팩 10매(보습),뷰티/화장품,미미팩,9900,40,2021-06-03
154,쿠션파운데이션 21호,뷰티/화장품,설화수,45000,20,2021-06-04
155,에센스 스킨로션 기획세트,뷰티/화장품,아모레퍼시픽,35000,15,2021-06-05
156,헤어트리트먼트 500ml,뷰티/화장품,미장센,8900,35,2021-06-06
157,아이섀도 팔레트(10색),뷰티/화장품,에뛰드하우스,18000,20,2021-06-07
158,네일폴리쉬 3종 세트,뷰티/화장품,네이처리퍼블릭,9900,25,2021-06-08
159,선크림 SPF50+,뷰티/화장품,AHC,15000,30,2021-06-09
160,헤어에센스 오일,뷰티/화장품,로레알,12900,20,2021-06-10
161,남성 올인원 스킨 200ml,뷰티/화장품,비오템옴므,29000,25,2021-06-11
162,스킨푸드 로열허니 프로폴리스 에센스,뷰티/화장품,스킨푸드,20000,15,2021-06-12
163,화장솜 200매(2팩),뷰티/화장품,클리오,5000,40,2021-06-13
164,토너 패드(각질 케어),뷰티/화장품,라운드랩,15000,20,2021-06-14
165,아이크림(주름 개선),뷰티/화장품,설화수,49000,15,2021-06-15
166,립밤 3종 세트(보습),뷰티/화장품,바세린,9000,30,2021-06-16
167,진동클렌저 기기(실리콘),뷰티/화장품,클라리소닉,59000,10,2021-06-17
168,미스트(수분 충전),뷰티/화장품,아리따움,8000,35,2021-06-18
169,에뛰드하우스 립틴트,뷰티/화장품,에뛰드하우스,8000,20,2021-06-19
170,페리페라 잉크 블랙카라,뷰티/화장품,페리페라,9000,25,2021-06-20
171,핸드크림 3종 세트,뷰티/화장품,더페이스샵,12000,30,2021-06-21
172,남성 왁스(슈퍼하드),뷰티/화장품,미쟝센,7000,40,2021-06-22
173,아이라이너 펜슬(블랙),뷰티/화장품,토니모리,6000,40,2021-06-23
174,마몽드 로즈워터 토너 500ml,뷰티/화장품,마몽드,15000,20,2021-06-24
175,디어달리아 블러셔(코랄),뷰티/화장품,디어달리아,29000,15,2021-06-25
176,나이키 요가매트 10mm,스포츠/레저,나이키,29900,30,2021-06-26
177,아디다스 축구공 5호,스포츠/레저,아디다스,25000,20,2021-06-27
178,헬스보충제 웨이프로틴 1kg,스포츠/레저,옵티멈뉴트리션,29000,15,2021-06-28
179,캠핑의자(폴딩),스포츠/레저,코베아,39000,25,2021-06-29
180,등산화(남성용),스포츠/레저,K2,119000,15,2021-06-30
181,등산배낭(30L),스포츠/레저,블랙야크,79000,18,2021-07-01
182,테니스라켓(입문용),스포츠/레저,윌슨,99000,10,2021-07-02
183,골프공(12개입),스포츠/레저,타이틀리스트,25000,40,2021-07-03
184,골프채 드라이버,스포츠/레저,테일러메이드,290000,10,2021-07-04
185,요가복 상하의 세트,스포츠/레저,안다르,59000,30,2021-07-05
186,인라인스케이트(성인용),스포츠/레저,롤러블레이드,89000,15,2021-07-06
187,자전거(로드용),스포츠/레저,자이언트,650000,8,2021-07-07
188,낚시대(민물용) 3.6m,스포츠/레저,도요피싱,49000,15,2021-07-08
189,캠핑용 코펠 세트(4인),스포츠/레저,스노우피크,99000,12,2021-07-09
190,스쿠버다이빙 오리발,스포츠/레저,마레스,59000,10,2021-07-10
191,헬멧(자전거/보드용),스포츠/레저,OGK,45000,20,2021-07-11
192,스쿼트머신 홈트기구,스포츠/레저,캠프365,79000,25,2021-07-12
193,아쿠아슈즈(물놀이용),스포츠/레저,네파,29000,30,2021-07-13
194,배드민턴 라켓(2자루 세트),스포츠/레저,요넥스,49000,20,2021-07-14
195,스포츠 물통(750ml),스포츠/레저,나이키,12900,40,2021-07-15
196,런닝머신 접이식,스포츠/레저,무명브랜드,299000,10,2021-07-16
197,스노보드(알파인),스포츠/레저,버튼,290000,5,2021-07-17
198,아디다스 수영복(남성),스포츠/레저,아디다스,49000,20,2021-07-18
199,등산스틱(2개 1세트),스포츠/레저,블랙야크,39000,15,2021-07-19
200,나이키 배구공 5호,스포츠/레저,나이키,28000,25,2021-07-20
